Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220110%WP163%MUS MUSCULUS,-0.6836734693877556,-2.4748041206341,0.0,0.0,77,18,Rps28;Rpl32;Rps12;Rpl37;Fau;Rpl36;Rps20;Rpl38;Rps25;Rpl34;Rplp1;Rps29;Rpl39;Rpl28;Rps15a;Rps26;Rpl41;Rpl35a,Rps28;Rpl32;Rps12;Rpl37;Fau;Rpl36;Rps20;Rpl38;Rps25;Rpl34;Rplp1;Rps29;Rpl39;Rpl28;Rps15a;Rps26;Rpl41;Rpl35a
positive regulation of signaling%GObp%GO:0023056,0.5707449050401344,2.2994266897267406,0.0,0.0,1921,15,Trim12a;Apoe;Wdfy1;Trim34a;Tnfsf10;Wnk1;Akap13;Numa1;Stat3;Angpt1;Runx1;Rb1cc1;Rps12;Rpl37;Rps20,Trim12a;Apoe;Wdfy1;Trim34a;Tnfsf10;Wnk1;Akap13;Numa1;Stat3;Angpt1;Runx1
protein binding%GOmf%GO:0005515,0.4937541475973237,3.3221850990280632,0.0,0.0,9602,56,Trim12a;Apoe;H2-Eb1;H2-Q7;Jund;Wdfy1;H2-Q4;Lmo2;Adipor2;Trim34a;Tap1;Tnfsf10;Ndrg1;Ly6a;Stat1;Wnk1;Akap13;H2-Q6;Numa1;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Muc13;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2;Rfk;Clec2d;Kansl1l;Prtn3;Insig1;Atp1a1;Ncor1;Gclm;Ly6e;Rb1cc1;Gstp1;Rpl37;Nop10;Fau;Rps20;Alad;Ctsg;Tuba1b;Sem1;Rpl39;S100a11;Lgals1;Arhgdib,Trim12a;Apoe;H2-Eb1;H2-Q7;Jund;Wdfy1;H2-Q4;Lmo2;Adipor2;Trim34a;Tap1;Tnfsf10;Ndrg1;Ly6a;Stat1;Wnk1;Akap13;H2-Q6;Numa1;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Muc13;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2;Rfk;Clec2d;Kansl1l;Prtn3;Insig1
regulation of RNA biosynthetic process%GObp%GO:2001141,0.6121716473065528,2.8040163786311503,0.0,0.0,3283,16,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Hlf;Ncor1,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4
regulation of cell differentiation%GObp%GO:0045595,0.5212960406081351,2.336785790941967,0.0,0.0,1690,15,Apoe;Jund;Lmo2;Mpl;Stat1;Numa1;Stat3;Glg1;Runx1;Maf;Clec2d;Insig1;Cyp51;Rras;Uqcc2,Apoe;Jund;Lmo2;Mpl;Stat1;Numa1;Stat3;Glg1;Runx1;Maf;Clec2d;Insig1;Cyp51;Rras
regulation of cellular biosynthetic process%GObp%GO:0031326,0.37858665615887643,2.31231752585198,0.0,0.0,4019,23,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Insig1;Hlf;Atp1a1;Ncor1;Rb1cc1;Rpl38;Rplp1;Rbm3;Uqcc2,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Insig1;Hlf;Atp1a1;Ncor1
regulation of gene expression%GObp%GO:0010468,0.46918364562846593,2.171815854426951,0.0,0.0,4945,29,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Stat1;Stat3;Ltb;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Hlf;Ncor1;Gstp1;Crip1;Rpl38;Rplp1;Rbm3;Uqcc2;Rps26,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Stat1;Stat3;Ltb;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4
regulation of immune system process%GObp%GO:0002682,0.649138224945106,2.260886169681049,0.0,0.0,1587,21,Trim12a;Apoe;H2-Eb1;Tspan32;H2-Q7;Jund;Wdfy1;H2-Q4;Lmo2;Tap1;Mpl;Stat1;Wnk1;H2-Q6;Stat3;Angpt1;Runx1;Tsc22d3;Clec2d;Ctsg;Lgals1,Trim12a;Apoe;H2-Eb1;Tspan32;H2-Q7;Jund;Wdfy1;H2-Q4;Lmo2;Tap1;Mpl;Stat1;Wnk1;H2-Q6;Stat3;Angpt1;Runx1
regulation of macromolecule metabolic process%GObp%GO:0060255,0.4482108543090362,2.4974202831339807,0.0,0.0,6349,36,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Tnfsf10;Stat1;Akap13;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2;Hlf;Cyp51;Ncor1;Rb1cc1;Gstp1;Crip1;Alad;Rpl38;Rplp1;Rbm3;Uqcc2;Rps26,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Tnfsf10;Stat1;Akap13;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2
regulation of metabolic process%GObp%GO:0019222,0.40698186770808564,2.2593807120051035,0.0,0.0,6855,40,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Tnfsf10;Stat1;Wnk1;Akap13;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2;Insig1;Hlf;Cyp51;Atp1a1;Ncor1;Rb1cc1;Gstp1;Crip1;Alad;Rpl38;Rplp1;Rbm3;Uqcc2;Cox7a2;Rps26,Trim12a;Apoe;Meg3;Jund;Lmo2;Adipor2;Trim34a;Mpl;Tnfsf10;Stat1;Wnk1;Akap13;Stat3;Ltb;Psmb8;Glg1;Angpt1;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Aplp2
regulation of molecular function%GObp%GO:0065009,0.5050505050505045,2.273623677490892,0.0,0.0,2645,17,Trim12a;Apoe;Trim34a;Tnfsf10;Stat1;Wnk1;Akap13;Stat3;Psmb8;Angpt1;Aplp2;Rfk;Prtn3;Ncor1;Gclm;Ly6e;Gstp1,Trim12a;Apoe;Trim34a;Tnfsf10;Stat1;Wnk1;Akap13;Stat3;Psmb8;Angpt1;Aplp2;Rfk;Prtn3;Ncor1;Gclm;Ly6e;Gstp1
regulation of nucleic acid-templated transcription%GObp%GO:1903506,0.6121716473065528,2.462284457127476,0.0,0.0,3275,16,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Hlf;Ncor1,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4
regulation of nucleobase-containing compound metabolic process%GObp%GO:0019219,0.5141151999973175,2.5084524830959727,0.0,0.0,3856,18,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4;Hlf;Ncor1;Rbm3;Rps26,Trim12a;Apoe;Jund;Lmo2;Trim34a;Stat1;Stat3;Runx1;Maf;Ifi27;Tsc22d3;Arid1b;Nrip1;Vgll4
